author,title,year_read,type
Margaret Atwood,The Handmaid's Tale,2023,novel
Margaret Atwood,The Testaments,2023,novel
Steven Levitt & Stephen Dubner,Freakonomics,2023,non-fiction
Jennifer Saint,Ariadne,2023,novel
Margaret Atwood,"Oryx and Crake (MaddAddam Trilogy, Book 1)",2023,novel
Margaret Atwood,"The Year of the Flood (MaddAddam Trilogy, Book 2)",2023,novel
Johan Eklöf,The Darkness Manifesto,2023,non-fiction
Margaret Atwood,"MaddAddam (MaddAddam Trilogy, Book 3)",2023,novel
Thomas Foster,How to read literature like a professor,2023,non-fiction
Margaret Atwood,"Alias Grace: A Novel",2023,novel
Rebecca Yarros,"Fourth Wing (The Empyrean #1)",2023,novel
Agatha Christie,"Hallowe'en Party (A Hercule Poirot Mystery)",2023,novel
Bram Stoker,Dracula,2023,novel
Angie Kim,Happiness Falls,2023,novel
Jed Herne,"Fires of the Dead",2023,novella
"Tom Dunmore, Scott Murray",Soccer For Dummies,2023,non-fiction
Stephen King,Misery,2023,novel
Ray Bradbury,Fahrenheit 451,2023,novel
Oliver Roeder,"Seven Games: A Human History",2024,non-fiction
Jed Herne,"The Thunder Heist (The Twisted Seas, 1)",2024,novel
"Joshua Robinson & Jonathan Clegg","The Club: How the English Premier League became the wildest, richest, most disruptive force in sports",2024,non-fiction
Rebecca Yarros,"Iron Flame (The Empyrean #2)",2024,novel
Sarah Rose,"For All the Tea in China: How England Stole the World's Favorite Drink and Changed History",2024,non-fiction
Christopher Golden,All Hallows,2024,novel
"Vincent Obsopoeus (edited & translated by Michael Fontaine)","How to Drink: A Classical Guide to the Art of Imbibing",2024,non-fiction
"Marcus Tullius Cicero (translated by Philip Freeman)","How to be a Friend: An Ancient Guide to True Friendship",2024,non-fiction
Charles Whedbee,Blackbeard's Cup and stories of the Outer Banks,2024,stories
Isabel Cañas,Vampires of El Norte,2024,novel
Stephen King,You Like It Darker,2024,stories
Jed Herne,Across the Broken Stars,2024,novel
Akira Toriyama,"Dragonball 3-in-1: 1, 2, 3",2024,manga
Jing Tsu,"Kingdom of Characters: The Language Revolution that made China Modern",2024,non-fiction
Akira Toriyama,"Dragonball 3-in-1: 4, 5, 6",2024,manga
Akira Toriyama,"Dragonball 3-in-1: 7, 8, 9",2024,manga
Akira Toriyama,"Dragonball 3-in-1: 10, 11, 12",2024,manga
